,ID,Age,Education,Son,Pet,Weight,Height,Body_mass_index,Social_drinker,Social_smoker
83,84,43,1,1,0,106,167,38,1,0
84,85,33,1,2,1,90,172,30,1,0
85,86,36,1,4,0,65,168,23,1,0
86,87,41,1,0,0,67,170,23,1,0
87,88,33,1,2,1,90,172,30,1,0
88,89,28,1,1,2,69,169,24,0,0
89,90,30,3,0,0,56,171,19,0,0
90,91,43,1,1,0,106,167,38,1,0
91,92,33,1,2,2,69,167,25,0,0
92,93,50,1,1,0,98,178,31,1,0
93,94,38,1,0,0,89,170,31,1,0
94,95,36,1,4,0,65,168,23,1,0
95,96,41,1,0,0,67,170,23,1,0
96,97,30,3,0,0,56,171,19,0,0
97,98,40,1,1,1,73,171,25,1,0
98,99,43,1,1,0,106,167,38,1,0
99,100,31,2,1,8,68,178,21,1,0
100,101,41,1,0,0,67,170,23,1,0
101,102,47,1,2,1,86,165,32,0,0
102,103,31,1,3,0,70,169,25,1,0
103,104,30,3,0,0,56,171,19,0,0
104,105,33,1,2,1,90,172,30,1,0
105,106,38,1,0,0,89,170,31,1,0
106,107,28,1,1,2,69,169,24,0,0
107,108,37,1,0,0,83,172,28,0,0
108,109,28,1,1,2,69,169,24,0,0
109,110,36,1,2,4,65,174,21,0,1
110,111,37,1,0,0,83,172,28,0,0
111,112,36,1,2,4,65,174,21,0,1
112,113,36,1,4,0,65,168,23,1,0
113,114,31,1,3,0,70,169,25,1,0
114,115,28,1,1,4,80,172,27,1,0
115,116,30,3,0,0,56,171,19,0,0
116,117,38,1,0,0,89,170,31,1,0
117,118,36,1,4,0,65,168,23,1,0
118,119,36,1,4,0,65,168,23,1,0
119,120,28,1,1,2,69,169,24,0,0
120,121,37,3,1,1,88,172,29,0,0
121,122,37,1,0,0,83,172,28,0,0
122,123,32,3,0,0,75,178,25,0,0
123,124,28,1,1,2,69,169,24,0,0
124,125,38,1,0,0,89,170,31,1,0
125,126,41,1,0,0,67,170,23,1,0
126,127,38,1,0,0,89,170,31,1,0
127,128,37,1,0,0,83,172,28,0,0
128,129,38,1,0,0,89,170,31,1,0
129,130,48,1,1,5,88,163,33,0,1
130,131,30,3,0,0,56,171,19,0,0
131,132,33,1,2,1,90,172,30,1,0
132,133,40,1,1,8,98,170,34,1,0
133,134,37,1,0,0,83,172,28,0,0
134,135,28,1,1,2,69,169,24,0,0
135,136,37,1,0,0,83,172,28,0,0
136,137,28,1,1,2,69,169,24,0,0
